recipe_name,diet,prep_time_mins,cook_time_mins,course,cuisine,translated_ingredients,url
Broken Wheat And Green Moong Khichdi Recipe,High Protein Vegetarian,20,30,Dinner,North Indian Recipes,"1 cup Broken Wheat (Dalia/ Godumai Rava) - lightly roasted,1/2 cup Green Moong Dal (Whole) - lightly roasted and soaked in water for 30 minutes,1 Onion - finely chopped,4 Garlic,1/4 cup Green beans (French Beans) - finely chopped,1 Carrot (Gajjar) - finely chopped,1 tablespoon Ghee,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),5-6 Curry leaves - torn with hands,1/2 inch Ginger - grated,1/2 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),3-4 Green Chillies,Mint Leaves (Pudina) - a few sprigs chopped,1 teaspoon Lemon juice",http://www.archanaskitchen.com/broken-wheat-and-green-moong-khichdi-recipe
Quick And Simple Egg Curry (Recipe In Hindi),Eggetarian,25,30,Side Dish,Indian,"4 अंडे - उबाल ले,6 टमाटर - पका के प्यूरी बना ले,1 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,1 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च शक्कर,नमक - स्वाद अनुसार,हरा धनिया - थोड़ा,तेल - बनाने के लिए,1 प्याज - काट ले,1 इंच अदरक - काट ले,3 लॉन्ग लहसुन,2 हरी मिर्च",https://www.archanaskitchen.com/quick-and-simple-egg-curry-recipe-in-hindi
Mirchi Ke Tipore Recipe - Green Chilli Stir Fry,Vegetarian,10,8,Side Dish,Rajasthani,"200 grams Green Chillies - (big one),3 tablespoons Mustard oil,1 tablespoon Mustard seeds,2 pinch Asafoetida (hing),1 tablespoon Cumin seeds (Jeera),2 tablespoon Fennel seeds (Saunf),1-1/2 tablespoon Coriander Powder (Dhania),1/4 tablespoon Red Chilli powder,1/2 tablespoon Turmeric powder (Haldi),1 tablespoon Amchur (Dry Mango Powder),Salt - to taste",http://www.archanaskitchen.com/mirchi-ke-tipore-recipe
Savory Oatmeal Bowl with Chettinad Mushroom and Green Peas Stir Fry Recipe,Vegetarian,10,25,Vegetarian,World Breakfast,"1/4 cup Rolled Oats Or Instant Oats - 40 grams,1 1/2 cup Water,1 Onion - sliced,1 inch Ginger,4 cloves Garlic - chopped,1 cup Button mushrooms - sliced,1/2 Green peas (Matar),1 teaspoon Fennel seeds (Saunf),1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Poppy seeds,1 teaspoon Whole Black Peppercorns,1 teaspoon Coriander (Dhania) Seeds,1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,2 Dry Red Chillies",https://www.archanaskitchen.com/savory-oatmeal-bowl-with-chettinad-mushroom-and-green-peas-stir-fry-recipe
Pumpkin Raita Recipe,Vegetarian,15,15,Side Dish,Indian,"200 grams Kaddu (Parangikai/ Pumpkin) - peeled and grated,400 ml Curd (Dahi / Yogurt),1/2 teaspoon Red Chilli powder,1/2 teaspoon Cumin powder (Jeera),1 Coriander (Dhania) Leaves - small bunch,Salt - to taste,Salt - to taste",https://www.archanaskitchen.com/pumpkin-raita-recipe
Whole Recipe - Puri Recipe,Vegetarian,20,15,Main Course,Indian,"2 कप गेहूं का आटा,2 छोटे चम्मच तेल - प्रयोग अनुसार,1 छोटा चम्मच कलोंजी के बीज  - या सौंफ या अजवाइन,नमक - स्वाद अनुसार",https://www.archanaskitchen.com/puri-recipe-learn-to-make-soft-puffed-puris-at-home-in-hindi
Chickpea Tikka Masala Recipe,High Protein Vegetarian,20,45,Lunch,North Indian Recipes,"1 cup Kabuli Chana (White Chickpeas) - soaked overnight in water,1 Onion - chopped,2 Tomatoes - chopped,1 inch Ginger - chopped,4 cloves Garlic - chopped,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),2 tablespoon Garam masala powder,1/2 cup Coconut milk,Salt - to taste",http://www.archanaskitchen.com/chickpea-tikka-masala-recipe
Maa Ki Dal Recipe - Maa Ki Dal Recipe,High Protein Vegetarian,10,150,Dinner,Punjabi,"1 कप काली उरद दाल,1 बड़ा चम्मच राजमा,4 टमाटर,1 इंच अदरक,1 बड़ा चम्मच घी,1 छोटा चम्मच जीरा,1 छोटा चम्मच कश्मीरी लाल मिर्च - सुखी,1 बड़ा चम्मच धनिया पाउडर,1/2 छोटा चम्मच गरम मसाला पाउडर",https://www.archanaskitchen.com/maa-ki-dal-recipe-punjabi-style-black-urad-dal-in-hindi
Bathua Aloo Paratha Recipe,Vegetarian,40,30,North Indian Breakfast,North Indian Recipes,"4 cups Bathua leaves - finely chopped,2 Potatoes (Aloo) - boiled,3 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1/2 Onion - finely chopped,Ghee - for cooking,1 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),2 cups Whole Wheat Flour,1 teaspoon Salt,Water - to knead the dough",http://www.archanaskitchen.com/bathua-aloo-paratha-recipe
Saffron Pilaf Recipe,Vegetarian,5,20,Dinner,North Indian Recipes,"2 cups पानी,1-1/2 कप चावल,1 प्याज - बारीक काट ले,2 बड़े चम्मच मक्खन,1/2 छोटा चम्मच केसर,2 बड़े चम्मच दूध - गरम,नमक - स्वाद अनुसार",http://www.archanaskitchen.com/saffron-pilaf-recipe-kesar-flavoured-rice-in-hindi
Vellarikka Kosumalli Recipe- South Indian Style Cucumber Salad,Vegetarian,10,5,Lunch,Indian,"2 Cucumbers - chopped,1 Carrot (Gajjar) - grated,1 Green Chilli - finely chopped,1 Lemon - juice extracted,1/4 cup Coriander (Dhania) Leaves - chopped,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Cumin seeds (Jeera),1 teaspoon Chana dal (Bengal Gram Dal),1 teaspoon White Urad Dal (Split),2 Dry Red Chillies - halved,1 sprig Curry leaves",https://www.archanaskitchen.com/vellarikkai-kosumali-recipe-south-indian-style-cucumber-salad
Baked Amritsari Kulcha Recipe (Without Yeast),Vegetarian,10,10,Dinner,Punjabi,"1-1/2 cup All Purpose Flour (Maida),1 teaspoon Salt,1 teaspoon Sugar,1 teaspoon Baking powder,1/4 teaspoon Baking soda,1 tablespoon Sunflower Oil,3 tablespoons Curd (Dahi / Yogurt),Water - as required,Black sesame seeds - as required,Sesame seeds (Til seeds) - as required,Coriander (Dhania) Leaves - chopped,Butter - as required",https://www.archanaskitchen.com/baked-amritsari-kulcha-recipe-without-yeast
North Indian Chawli ki Sabzi Recipe | Yard Long Beans | Barbati | Karamani,Vegetarian,10,30,Lunch,North Indian Recipes,"300 grams Green Chawli Beans (Yard long beans/Karamani/Barbati) - finely chopped,1 Ajwain (Carom seeds),4 cloves Garlic - finely chopped,2 Tomatoes - finely chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/4 teaspoon Garam masala powder,2 teaspoons Coriander Powder (Dhania),1 teaspoon Amchur (Dry Mango Powder),1 tablespoon Jaggery,Salt - to taste,Mustard oil",http://www.archanaskitchen.com/chawli-beans-ajwain-ki-sabzi-recipe-cowpea-beans-stir-fry
Roasted Coriander Potatoes With Thyme Recipe,Vegetarian,30,30,Appetizer,Indian,"600 grams Potatoes (Aloo) - partly boiled,2 tablespoons Butter,2 tablespoons Coriander (Dhania) Seeds,5 sprig Fresh Thyme leaves,1/2 teaspoon Black pepper powder,Salt - to taste",https://www.archanaskitchen.com/roasted-coriander-potatoes-with-thyme-recipe
"Fenugreek Makhana Matar Korma Recipe - Fenugreek, Green P & Lotus Seeds Curry",Diabetic Friendly,20,20,Lunch,North Indian Recipes,"1 Cup Methi Leaves (Fenugreek Leaves) - finely chopped,1 Cup Green peas (Matar) - steamed,1-1/2 Cups Lotus Seeds,1 tablespoon Ghee,2 cloves Garlic,1 inch Ginger,2 Green Chillies - roughly chopped,1 teaspoon Cumin seeds (Jeera),1 Onion - finely chopped,1/2 cup Homemade tomato puree,1 teaspoon Cumin powder (Jeera),2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1 Bay leaf (tej patta),1/4 cup Milk,1 tablespoon Sunflower Oil,Salt - to taste",http://www.archanaskitchen.com/methi-makhana-mutter-korma-recipe
Chicken Tikka Recipe,Non Vegeterian,120,45,Appetizer,Punjabi,"500 grams Boneless chicken,1 teaspoon Ginger Garlic Paste,1 tablespoon Lemon juice,1 teaspoon Turmeric powder (Haldi),1 tablespoon Gram flour (besan),1 teaspoon Ajwain (Carom seeds),2 tablespoons Red Chilli powder,1 tablespoon Garam masala powder,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),4 tablespoons Curd (Dahi / Yogurt),Salt",http://www.archanaskitchen.com/chicken-tikka-recipe
Amarnath Suji & Oats Dhokla Recipe,Vegetarian,15,30,North Indian Breakfast,Gujarati Recipes﻿,"2 cups Sooji (Semolina/ Rava),40 grams Rolled Oats Or Instant Oats,200 grams Green Amaranth Leaves - finely chopped,1 cup Curd (Dahi / Yogurt),2 teaspoons Enos fruit salt,1/2 teaspoon Asafoetida (hing),1 Ginger - grated,1 teaspoon Sunflower Oil,Red Chilli powder - for garnish,Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon Sesame seeds (Til seeds),1 teaspoon Sunflower Oil,1 sprig Curry leaves",https://www.archanaskitchen.com/amaranth-sooji-oats-dhokla-recipe
Postal Millet Lemon Rice Recipe-Lemon Honey,Vegetarian,20,40,Lunch,South Indian Recipes,"1 cup Foxtail Millet,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1/4 cup Raw Peanuts (Moongphali),1/4 cup Carrot (Gajjar) - chopped,1 sprig Curry leaves - roughly chopped,1 inch Ginger - grated,2 Green Chillies - finely chopped,1 teaspoon Turmeric powder (Haldi),1 Lemon - juiced,Salt - to taste,1 tablespoon Sesame (Gingelly) Oil,Coriander (Dhania) Leaves - a small bunch finely chopped",https://www.archanaskitchen.com/foxtail-millet-lemon-rice-recipe-thenai-sadam
Bengali Special Chocolate Sandesh Recipe (Chocolate Infused Cottage Cheese Dessert),Vegetarian,10,45,Dessert,Bengali Recipes,"100 grams Milk chocolate - chopped,1 tablespoon Butter,2 cups Chenna (Homemade Cottage Cheese) - (2 recipe portions),1/2 cup Sugar - powdered,1/4 cup Dates - pitted and cut lengthwise,1 tablespoon Pistachios - finely chopped",http://www.archanaskitchen.com/bengali-special-chocolate-sandesh-recipe
Beer Batter Prawns Recipe,Non Vegeterian,30,20,Appetizer,Indian,"15 Prawns,2 teaspoon Black pepper powder,1 teaspoon Red Chilli powder - or paprika,1/2 teaspoon Salt,3/4 cup Beer - chilled,3/4 cup All Purpose Flour (Maida),1/4 cup Corn flour,1 teaspoon Black pepper powder,1/2 teaspoon Red Chilli powder,2 teaspoon Pizza seasoning,2 teaspoon Garlic powder,1/4 teaspoon Cooking soda,4 teaspoons Salt,2 cups Sunflower Oil - for deep frying",http://www.archanaskitchen.com/beer-batter-prawns-recipe
Spicy Sweet Corn & Oat Fritters Recipe - Corn Masala Vada,Vegetarian,10,40,Appetizer,South Indian Recipes,"2 cups Sweet corn - (frozen or canned),2 Green Chillies,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),1 Onion - finely chopped,1/2 cup Coriander (Dhania) Leaves - finely chopped,1/4 cup Chives - finely chopped,1 cup Instant Oats (Oatmeal) - powdered in a blender,Salt - to taste,1 tablespoon Rice flour - to be used only if required),Sunflower Oil - for deep-frying (if not baking)",https://www.archanaskitchen.com/spicy-sweet-corn-oat-fritters-recipe-corn-masala-vada
Kashmiri Style Noon Tea Recipe - Kashmiri Style Noon Chai Recipe,Vegetarian,10,10,Snack,Kashmiri,"2 छोटा चम्मच कश्मीरी ग्रीन टी - या ग्रीन टी,1/3 छोटा चम्मच बेकिंग सोडा,1/2 छोटा चम्मच नमक,2 इलाइची - क्रश कर ले,2 कप दूध,2 कप पानी",http://www.archanaskitchen.com/kashmiri-style-noon-chai-recipe-pink-tea-in-hindi
Chilli Paneer Recipe -Indo Chinese,High Protein Vegetarian,10,30,Appetizer,North Indian Recipes,"200 grams Paneer (Homemade Cottage Cheese) - cut in cubes,1/4 cup Red Bell pepper (Capsicum) - sliced,1/4 cup Green Bell Pepper (Capsicum) - sliced,1/2 cup Spring Onion (Bulb & Greens) - chopped,1 teaspoon Garlic - finely chopped,2 teaspoons Ginger - finely chopped,2 Thai Red chilli (Birds Eye Chilli) - slit,1 tablespoon Corn flour,1 tablespoon Soy sauce,1 tablespoon Tomato Ketchup,1 teaspoon Red Chilli sauce,1 tablespoon Sesame (Gingelly) Oil,Salt - to taste",https://www.archanaskitchen.com/crispy-paneer-schezwan-recipe
Dry Fruit Halwa Recipe,Vegetarian,30,30,Dessert,Indian,"1 cup Dates - seedless,1 cup Dried Figs - dried,1/4 cup Pistachios - finely chopped,1/4 cup Cashew nuts - finely chopped,1/4 cup Badam (Almond) - finely chopped,1/4 cup Walnuts - finely chopped,1 tablespoon Milk,2 tablespoons Ghee",http://www.archanaskitchen.com/dry-fruit-halwa-recipe
Chatpata Kala Chana Pakora Roll / Frankie Recipe,Vegetarian,20,20,Lunch,Indian,"4 Tawa Paratha,1/4 cup Green Chutney (Coriander & Mint) -,1/4 cup Sweet Chutney (Date & Tamarind),1/2 cup Pickled onions,Chaat Masala Powder,1/2 cup Kala Chana (Brown Chickpeas),1 Onion - finely chopped,2 Green Chillies - finely chopped,3 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 sprig Coriander (Dhania) Leaves - finely chopped,2 sprig Mint Leaves (Pudina) - finely chopped,Salt - to taste,1 teaspoon Chaat Masala Powder,1/2 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Lemon juice",http://www.archanaskitchen.com/chatpata-kala-chana-pakora-roll-frankie-recipe
Seppankizhangu Roast (South Indian Style Arbi Fry) Recipe,Vegetarian,15,40,Lunch,South Indian Recipes,"500 grams Colocasia root (Arbi),2 teaspoon Gram flour (besan),2 teaspoon Rice flour,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Turmeric powder (Haldi),Sunflower Oil - to cook,Salt - to taste",https://www.archanaskitchen.com/seppakizhangu-roast-south-indian-style-arbi-fry-recipe
Moong Dal Ghughra Recipe (Gujiya / Karanji),Vegetarian,60,30,Snack,North Indian Recipes,"2 cups Vivatta Maida,1/2 cup Ghee,1/4 teaspoon Salt,Water - for kneading,Sunflower Oil - for deep frying,2 cups Green Moong Dal (Whole) - soaked and steamed,1 teaspoon Cumin seeds (Jeera) - coarsely pounded,1 teaspoon Fennel seeds (Saunf) - coarsely pounded,1 teaspoon Sesame seeds (Til seeds),2 teaspoons Sugar,1/2 teaspoon Asafoetida (hing),1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1 inch Ginger - grated,Salt - to taste",https://www.archanaskitchen.com/moong-dal-ghughra-recipe-gujiya-karanji
Onion Kachori Recipe,Vegetarian,20,40,Snack,Indian,"2 cups All Purpose Flour (Maida),2 tablespoons Ghee,1 teaspoon Salt,Water - as required,3 Onions - finely chopped,2 Potatoes (Aloo) - boiled and mashed,2 Green Chillies - finely chopped,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1/4 teaspoon Asafoetida (hing),1 teaspoon Fennel seeds (Saunf),1 teaspoon Coriander Powder (Dhania),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Garam masala powder,4 sprig Coriander (Dhania) Leaves - finely chopped,Salt - to taste,Mustard oil",http://www.archanaskitchen.com/pyaaz-kachori-recipe
Sitaphal Rabdi Recipe,Vegetarian,10,90,Dessert,Indian,"1-1/2 liter Milk - full fat,3 Custard apple (Sitaphal) - de-seeded and pulp collected,1/4 cup Badam (Almond) - slivered,1/4 cup Pistachios - slivered,1 teaspoon Cardamom Powder (Elaichi)",http://www.archanaskitchen.com/sitaphal-rabdi-recipe
Tulsi And Betel Leaves Rasam Recipe,Vegetarian,10,30,Lunch,South Indian Recipes,"4 sprig Tulsi (holy basil),2 Betel leaves (paan),6 cloves Garlic,1/2 teaspoon Ajwain (Carom seeds),1/3 teaspoon Black pepper powder,1/2 teaspoon Cumin seeds (Jeera),25 grams Tamarind,1 Tomato,Curry leaves - Few,1 tablespoon Ginger - finely chopped,1/2 teaspoon Asafoetida (hing),Salt - as needed,1/3 teaspoon Turmeric powder (Haldi),Water - as required,1/2 tablespoon Rasam Powder,Coriander (Dhania) Leaves - Few,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1 Dry Red Chilli",http://www.archanaskitchen.com/tulasi-and-beetal-leaves-rasam-recipe
"Kachumber Salad Recipe With Cucumber, Onion & Tomatoes",Diabetic Friendly,10,5,Side Dish,Indian,"3 Cucumber - peeled and chopped,1 Onion - finely chopped,1 Green Chilli - finely chopped,2 Tomatoes - chopped,1 Carrot (Gajjar) - peeled and chopped,1/4 cup Fresh Pomegranate Fruit Kernels,Salt - to taste,Black pepper powder - black pepper powder (as required),1 teaspoon Cumin powder (Jeera) - (roast),1-1/2 teaspoon Lemon juice,Coriander (Dhania) Leaves - few sprigs,Mint Leaves (Pudina) - few",https://www.archanaskitchen.com/kachumber-salad-recipe-with-cucumber-onion-tomatoes
Vegetable Rava Idli Recipe - Veggie Rava Idli (Recipe),Vegetarian,10,30,South Indian Breakfast,South Indian Recipes,"1-1/2 कप सूजी,1 कप दही,1 बड़ा चमच्च अदरक - कस ले,1/2 कप स्वीट कॉर्न,1/2 कप हरा मटर,1/2 कप गाजर - कस ले,1/2 कप हरा धनिया - बारीक काट ले,3 हरी मिर्च - बारीक काट ले,1 बड़ा चमच्च राइ,1/2 बड़ा चमच्च चना दाल,10 कढ़ी पत्ता,1 छोटा चमच्च रेड चिल्ली फलैक्स,1 बड़ा चमच्च तेल,नमक - स्वाद अनुसार,1 छोटा चमच्च इनो फ्रूट साल्ट,1 कप पानी",https://www.archanaskitchen.com/veggie-rava-idli-recipe-2
Vegetarian Chinese Samosa Recipe,Vegetarian,10,45,Snack,North Indian Recipes,"2 cups Whole Wheat Flour,1 pinch Salt,1/4 cup Ghee,1 cup Rice Vermicelli Noodles (Thin) - cooked,2 Carrots (Gajjar) - finely chopped,12 Green beans (French Beans) - finely chopped,1 Green Bell Pepper (Capsicum) - finely chopped,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,2 inch Ginger - grated,3 cloves Garlic - finely chopped,1 Green Chilli - finely chopped,3 Spring Onion Greens - stalks,1 teaspoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),Salt - to taste,Black pepper powder - to taste",http://www.archanaskitchen.com/vegetarian-chinese-samosa-recipe
Khichdi With Fresh Spices Recipe,Vegetarian,40,20,One Pot Dish,Indian,"1 cup Rice,1/2 cup Yellow Moong Dal (Split),3 cups Water,1 tablespoon Ghee,1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),1-2 Dry Red Chilli,1/4 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),1 tablespoon Ginger - grated,1/2 teaspoon Turmeric powder (Haldi),Salt - as per taste,Coriander (Dhania) Leaves,Green Chillies,Lime Wedges - Lime wedges",https://www.archanaskitchen.com/khichdi-with-fresh-spices-recipe
Chettinad Kavuni Arisi Sweet Recipe (Black Rice Pudding),Vegetarian,10,30,Dessert,Chettinad,"1 cup Black Rice,3 cups Water,1/2 cup Palm sugar - or jaggery,1/2 teaspoon Cardamom Powder (Elaichi),1/2 cup Fresh coconut - grated,1 teaspoon Ghee",https://www.archanaskitchen.com/chettinad-kavuni-arisi-sweet-recipe-black-rice-pudding
Stuffed Masala Aloo Naan Recipe Made Without Oven,Vegetarian,30,40,Main Course,North Indian Recipes,"2 cups Whole Wheat Flour,1 teaspoon Salt,1 cup Aerated water (Soda Water),2 teaspoon Ghee,3 Potatoes (Aloo) - boiled and mashed,1 Onion - finely chopped,2 Green Chillies - finely chopped,1 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Red Chilli powder,1/2 teaspoon Ajwain (Carom seeds),Salt - to taste,Coriander (Dhania) Leaves - small bunch",http://www.archanaskitchen.com/stuffed-masala-aloo-naan-recipe-made-without-oven
Chettinad Mutton Chops Kuzhambu Recipe-Mutton Chops Curry,Non Vegeterian,10,60,Lunch,Chettinad,"500 grams Mutton - chops,2 Onions - finely chopped,3 Tomatoes,1 tablespoon Ginger Garlic Paste,1 Green Chilli,1 teaspoon Cumin seeds (Jeera),1-1/2 teaspoon Whole Black Peppercorns,1/2 teaspoon Mustard seeds,1 tablespoon Coriander (Dhania) Seeds,2 Dry Red Chillies,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),4 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),Salt - to taste,2 tablespoon Sunflower Oil,1 teaspoon Red Chilli powder,1 teaspoon Salt,Mutton - as required,1 Onion - finely chopped,1 teaspoon Cumin seeds (Jeera),Coriander (Dhania) Leaves - for garnish",http://www.archanaskitchen.com/chettinad-mutton-chops-kozhumbhu-mutton-chops-curry-recipe
Palak Tambuli Recipe (Udupi Style Spinach Tambli),High Protein Vegetarian,10,20,Lunch,Karnataka,"15 Spinach Leaves (Palak),1 teaspoon Cumin seeds (Jeera),3 Whole Black Peppercorns,2 Green Chilli,1/4 cup Fresh coconut - grated,1 cup Curd (Dahi / Yogurt) - sour or buttermilk,1 teaspoon Ghee,Salt - to taste,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),Curry leaves - few,1 Dry Red Chilli - broken",https://www.archanaskitchen.com/palak-tambuli-udupi-style-spinach-tambli-recipe
Semiya Biryani Recipe,Vegetarian,5,20,Dinner,South Indian Recipes,"2 cups Semiya (Vermicelli),4 cups Water,1 Carrot (Gajjar),1/2 cup Green peas (Matar),2 Whole Wheat Brown Bread,2 teaspoon Sunflower Oil - plus 1 teaspoon,1 Onion,1 teaspoon Ginger Garlic Paste,1 Tomato,6 Mint Leaves (Pudina),1 teaspoon Garam masala powder,1/2 teaspoon Red Chilli powder,1/2 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,Salt - as required",http://www.archanaskitchen.com/semiya-biryani-recipe
Chewy Pumpkin Seed Chikki Recipe,Vegetarian,10,15,Snack,Indian,"100 grams Pumpkin seeds,1/2 cup Jaggery - powdered,2 Cardamom Powder (Elaichi),1/2 cup Fresh coconut - grated",https://www.archanaskitchen.com/chewy-pumpkin-seed-chikki-recipe
Karwar style Tousali Recipe-Cucumber Steamed Cake,Vegetarian,130,30,South Indian Breakfast,Karnataka,"1 Cucumber - grated,1/2 cup Rice,2 tablespoon Sooji (Semolina/ Rava),1/2 cup Fresh coconut,1 teaspoon Ghee,1/2 teaspoon Jaggery,1 teaspoon Enos fruit salt,Salt - to taste",https://www.archanaskitchen.com/karwar-style-tousali-recipe-cucumber-cake-recipe
Puffed Rice Bar Recipe,High Protein Vegetarian,10,25,Snack,Indian,"2 cups Puffed rice,1/4 cup Mixed nuts - dry roasted and chopped,3 tablespoon Dry coconut (kopra) - grated,1/2 teaspoon Cardamom (Elaichi) Pods/Seeds - powdered,3/4 cup Jaggery,Butter - melted to grease the tin/tray",http://www.archanaskitchen.com/puffed-rice-bar-recipe
Roat Recipe | Uttarakhand Style Sweetened Flatbread,Vegetarian,30,15,Dessert,North Indian Recipes,"1 cup Whole Wheat Flour,1/4 cup Milk - cold,3 tablespoons Ghee - more to smear,1/2 teaspoon Cardamom Powder (Elaichi),1 teaspoon Fennel seeds (Saunf),1 cup Jaggery",http://www.archanaskitchen.com/roat-recipe-uttarakhand-style-sweetened-flatbread
Apple Puree Recipe (Baby Food - 4 months onwards),Vegetarian,10,30,Lunch,Indian,"1 Apple,Water - for cooking",http://www.archanaskitchen.com/apple-puree-recipe-baby-food-4-months-onwards
Bakery Style Baked Nippattu Recipe - Bakery Style Baked Nippattu Recipe,Vegetarian,30,30,Snack,Indian,"2 कप मैदा (ऑल पर्पस आटा),1/4 कप पानी - गुनगुना,1/3 कप तेल,4 बड़े चम्मच मक्खन - पिघला हुआ,1 छोटा चम्मच बेकिंग सोडा,1 बड़ा चम्मच दूध पाउडर - वैकल्पिक,4 छोटे चम्मच तिल (सफ़ेद),1 प्याज - बारीक काट ले,3 हरी मिर्च - बारीक काट ले,1 छोटा चम्मच काली मिर्च पाउडर - वैकल्पिक,हरा धनिया - काट ले,कढ़ी पत्ता,2 छोटे चम्मच शक्कर,नमक - स्वाद अनुसार",https://www.archanaskitchen.com/bakery-style-baked-nippattu-recipe-in-hindi
Karamani Sundal Recipe - Spicy Tossed Black Eyed Beans Recipe),Vegetarian,15,15,Side Dish,South Indian Recipes,"1-1/2 cups Black Eyed Beans (Lobia) - soaked,1 teaspoon Coconut Oil,1/4 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),2 inch Ginger - finely chopped,2 Green Chillies - finely chopped,2 sprig Curry leaves - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),2 Dry Red Chilli - Salt to taste,4 or 5 Curry leaves - Juice from 1/2 lemon,1/4 cup Fresh coconut,3 sprig Coriander (Dhania) Leaves - finely chopped",http://www.archanaskitchen.com/karamani-sundal-recipe-spicy-tossed-black-eyed-beans-recipe
Nawabi Tawa Paratha Recipe,Vegetarian,30,10,Lunch,Lucknowi,"2 cups All Purpose Flour (Maida),1 teaspoon Sooji (Semolina/ Rava),Salt - a pinch,Sugar - a pinch,1/4 teaspoon Cardamom Powder (Elaichi),1 teaspoon Rose water,1 teaspoon Kewra Water,1/2 teaspoon Saffron strands,1 tablespoon Ghee,Milk - for kneading,Ghee - for cooking",http://www.archanaskitchen.com/nawabi-tawa-paratha-recipe
Crispy Chicken Pakoda Recipe - Crispy Chicken Pakoda Recipe,Vegetarian,0,35,Snack,Indian,"300 ग्राम चिकन - बोनलेस,1-1/2 छोटे चम्मच अदरक लहसुन का पेस्ट,1-1/2 छोटे चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच धनिया पाउडर,1/2 छोटा चम्मच हल्दी पाउडर,1/2 छोटा चम्मच काली मिर्च पाउडर,2 हरी मिर्च - सीधा और पतला काट ले,2 टहनी कढ़ी पत्ता,1 अंडे,1 बड़ा चम्मच बेसन,1 बड़ा चम्मच कॉर्न फ्लौर,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार",http://www.archanaskitchen.com/crispy-chicken-pakoda-recipe-in-hindi
Rajma Sagwara Recipe - Dry Kidney Beans and Spinach Stir Fry (Recipe),Vegetarian,15,20,Lunch,North Indian Recipes,"1 कप राजमा - उबाल ले,2 कप्स पालक - काट ले,तेल - प्रयोग अनुसार,1 छोटा चमच्च जीरा,1 प्याज - बारीक काट ले,5 कली लहसुन - बारीक काट ले,1 हरी मिर्च - बारीक काट ले,1/4 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च गरम मसाला पाउडर,हींग - चुटकी भर,नमक - स्वाद अनुसार",http://www.archanaskitchen.com/rajma-saagwala-dry-kidney-beans-and-spinach-stir-fry-recipe-2
